first_order_date,last_order_date,orders,quantity,revenue,postal_code,city,country,today,days_since_order,id,order_ids
2017-11-23 23:27:24,2017-11-23 23:27:24,5,5,172.35,3031CK,Rotterdam,NL,2020-06-18 00:00:00,937 ,8533653664378066306,15788567094984130504
2017-11-28 22:25:18,2020-04-18 14:22:00,2,2,10.97,1078MJ,Amsterdam,NL,2020-06-18 00:00:00,932 ,2240778649864075061,4314210098438360105
2017-11-28 18:12:34,2017-11-28 18:12:34,2,2,56.6,5988BN,Helden,NL,2020-06-18 00:00:00,932 ,6882005079910082657,2945156721162881915
2017-12-10 20:23:45,2017-12-10 20:23:45,2,2,59.02,3991ZC,Houten,NL,2020-06-18 00:00:00,920 ,13326389064459893468,5607918620997681240
2017-12-16 22:31:00,2017-12-16 22:31:00,1,1,20.75,1082RA,Amsterdam,NL,2020-06-18 00:00:00,914 ,16660241890108449832,10448982656320903546
2017-12-16 12:18:55,2017-12-16 12:18:55,1,1,30.58,3054GC,Rotterdam,NL,2020-06-18 00:00:00,914 ,7526568948492946631,12223373064683424891
2017-12-19 12:48:14,2017-12-19 12:48:14,1,10,33.02,1911TP,Uitgeest,NL,2020-06-18 00:00:00,911 ,16994241850132210949,5445141770993854662
2017-12-22 19:09:42,2017-12-22 19:09:42,1,1,0.0,2265EJ,Leidschendam,NL,2020-06-18 00:00:00,908 ,9230181895094852958,1029621834394362620
2017-12-23 20:03:54,2017-12-23 20:03:54,1,1,28.93,1055ED,Amsterdam,NL,2020-06-18 00:00:00,907 ,16275329372658018076,2032494758560104090
2017-12-24 13:38:37,2017-12-24 13:38:37,1,1,0.0,1715VZ,Spanbroek,NL,2020-06-18 00:00:00,906 ,11847015031525240962,5062953961399570061
2017-12-26 00:07:46,2017-12-26 00:07:46,1,1,13.22,9601EL,Hoogezand,NL,2020-06-18 00:00:00,904 ,1299491386349202029,15421873345545042849
2017-12-26 23:31:27,2017-12-26 23:31:27,1,1,28.93,3021AN,Rotterdam,NL,2020-06-18 00:00:00,904 ,13859981376881868874,8565350966130669757
2017-11-27 21:29:14,2017-12-27 18:51:30,4,4,120.3,3434BL,Nieuwegein,NL,2020-06-18 00:00:00,903 ,3679981798168526090,3439822718777378482
2017-12-30 16:44:18,2017-12-30 16:44:18,2,2,39.66,6373VD,Landgraaf,NL,2020-06-18 00:00:00,900 ,16499261267568782711,7589245453433781691
2020-03-19 21:01:00,2020-03-19 21:01:00,1,1,38.0,1081 AJ,Amsterdam,NL,2020-06-18 00:00:00,90 ,11937225353921926984,17812343335598832820
2020-03-19 13:28:00,2020-03-19 13:28:00,1,3,29.0,7076 AK,Varsselder,NL,2020-06-18 00:00:00,90 ,3684490861297729777,13148567190346715204
2020-06-08 09:22:00,2020-06-08 09:22:00,1,3,41.0,4543 CC,Zaamslag,NL,2020-06-18 00:00:00,9 ,4883061645159069087,17670397250271557163
2020-06-08 11:45:00,2020-06-08 11:45:00,1,6,58.0,2491 AM,Den Haag,NL,2020-06-18 00:00:00,9 ,12258020927357791385,10710987199304174261
2020-06-08 11:47:00,2020-06-08 11:47:00,1,3,29.0,3328 CA,Dordrecht,NL,2020-06-18 00:00:00,9 ,15840925798011199264,8835628587970474114
2018-01-05 08:34:45,2018-01-05 08:34:45,1,1,0.0,1218CH,Hilversum,NL,2020-06-18 00:00:00,894 ,5645746409983452002,7122854238938775461
2018-01-06 10:06:03,2018-01-06 10:06:03,1,1,0.0,3438HS,Nieuwegein,NL,2020-06-18 00:00:00,893 ,5197138409636043754,3916864345794857226
2018-01-07 12:22:46,2018-01-07 12:22:46,1,1,28.93,1016ED,Amsterdam,NL,2020-06-18 00:00:00,892 ,3194210167456997197,6052685003856661976
2018-01-07 14:26:21,2018-01-07 14:26:21,1,1,18.18,2511VD,s-Gravenhage,NL,2020-06-18 00:00:00,892 ,3721758385498203603,16095501375047367866
2018-01-08 14:07:49,2018-01-08 14:07:49,2,2,55.24,5709ML,Helmond,NL,2020-06-18 00:00:00,891 ,16466304371294925803,13663998364631000483
2020-03-20 18:25:00,2020-03-20 18:25:00,1,3,29.0,2713 GM,Zoetermeer,NL,2020-06-18 00:00:00,89 ,3618884618352770677,6986554862389890514
2018-01-11 11:44:23,2018-01-11 11:44:23,1,1,33.06,7002AB,Doetinchem,NL,2020-06-18 00:00:00,888 ,12358838909437607362,3680691510598967914
2018-01-14 19:09:03,2018-01-14 19:09:03,1,1,18.18,7451NJ,Holten,NL,2020-06-18 00:00:00,885 ,12712846881393632358,10378717792344443655
2020-03-21 16:23:00,2020-03-21 16:23:00,1,3,29.0,6661 ZD,Elst,NL,2020-06-18 00:00:00,88 ,4537976189775315891,11024495179658773061
2018-01-21 23:41:48,2018-01-21 23:41:48,1,1,6.61,1473PA,Warder,NL,2020-06-18 00:00:00,878 ,9267784002555643614,9535122955060441160
2018-01-21 08:52:41,2018-01-21 08:52:41,1,1,0.0,7751AX,Dalen,NL,2020-06-18 00:00:00,878 ,5836966852654929115,17619869571904194346
2018-01-25 21:19:04,2018-01-25 21:19:04,1,1,0.0,3706CE,Zeist,NL,2020-06-18 00:00:00,874 ,5273744659427732651,14008835755866690302
2018-01-25 22:44:31,2018-01-25 22:44:31,2,3,98.2,6373KR,Landgraaf,NL,2020-06-18 00:00:00,874 ,2798987250482298213,6972489348037726289
2018-01-26 22:34:07,2018-01-26 22:34:07,3,3,54.54,2991PA,Barendrecht,NL,2020-06-18 00:00:00,873 ,1272038904073498636,9068722456932176280
2018-01-28 22:16:28,2018-01-28 22:16:28,1,2,36.36,3452JM,Vleuten,NL,2020-06-18 00:00:00,871 ,15198853021870136244,13557024624653493796
2020-03-22 17:03:00,2020-03-22 17:03:00,1,3,29.0,3025 TR,Rotterdam,NL,2020-06-18 00:00:00,87 ,16709617491566931418,11753758070759167103
2020-03-22 21:25:00,2020-03-22 21:25:00,1,3,29.0,2151 SE,Nieuw-Vennep,NL,2020-06-18 00:00:00,87 ,16112874857295984548,3981840034600247153
2017-10-12 07:16:34,2018-01-31 06:17:08,2,2,16.62,2574TV,s-Gravenhage,NL,2020-06-18 00:00:00,868 ,13371783895660101916,4597125713360119240
2018-02-04 22:46:30,2018-02-04 22:46:30,1,1,0.0,2406VS,Alphen aan den Rijn,NL,2020-06-18 00:00:00,864 ,13091956576334075038,12963099016462011449
2018-02-05 14:23:31,2018-02-06 18:49:17,2,2,13.21,1931VT,Egmond aan Zee,NL,2020-06-18 00:00:00,862 ,17530305286758108786,9620243978579480661
2020-03-23 16:48:00,2020-03-23 16:48:00,1,3,29.0,5708 KA,Helmond,NL,2020-06-18 00:00:00,86 ,1468030583000555164,10510035890261036612
2018-02-12 12:00:26,2018-02-12 12:00:26,1,1,9.43,2841DJ,Moordrecht,NL,2020-06-18 00:00:00,856 ,16051011388178828710,2351934773502266075
2018-02-14 13:10:10,2018-02-14 13:10:10,2,2,29.76,1056HR,Amsterdam,NL,2020-06-18 00:00:00,854 ,17539663541428306000,5074735302690956270
2018-02-16 22:48:48,2018-02-16 22:48:48,1,1,24.79,3841EH,Harderwijk,NL,2020-06-18 00:00:00,852 ,14333246814542581073,2822029054631586289
2018-02-17 13:49:38,2018-02-17 13:49:38,1,1,12.4,2341JP,Oegstgeest,NL,2020-06-18 00:00:00,851 ,11435400903175642810,3654956307906828222
2018-02-18 09:54:46,2018-02-18 09:54:46,1,1,6.61,4834NE,Breda,NL,2020-06-18 00:00:00,850 ,4462024684913350784,5786699555418416620
2020-03-24 15:21:00,2020-03-24 15:21:00,1,3,29.0,5144 NB,Waalwijk,NL,2020-06-18 00:00:00,85 ,10231532510073098147,9862989621624869137
2020-03-24 17:28:00,2020-03-24 17:28:00,1,3,29.0,5923 KX,Venlo,NL,2020-06-18 00:00:00,85 ,12976483559802613986,7961971074870377155
2018-02-20 17:17:25,2018-02-20 17:17:25,1,1,28.93,3314ZB,Dordrecht,NL,2020-06-18 00:00:00,848 ,1520789474531424564,10376033045206565682
2018-02-21 20:54:21,2018-02-21 20:54:21,1,1,24.79,2291LZ,Wateringen,NL,2020-06-18 00:00:00,847 ,6203932349970166352,12713018117829433232
2018-02-21 12:08:14,2018-02-21 12:08:14,1,1,24.79,2151KV,Nieuw-Vennep,NL,2020-06-18 00:00:00,847 ,5211466090800095899,11655243251366416751
