Order Number,Item Name,Item #,Quantity,Item Cost
743,Kalebas,4,1,15.0
742,Yerba mate set,1,1,-2.0
742,Bombilla,2,1,8.0
742,Yerba mate,3,1,8.0
742,Kalebas,4,1,15.0
741,Yerba mate set,1,1,-2.0
741,Bombilla,2,1,8.0
741,Yerba mate,3,1,8.0
741,Kalebas,4,1,15.0
740,Mateology - The Drink Beyond a Drink,1,1,15.0
739,Kalebas,1,1,15.0
738,Kalebas,1,1,15.0
738,Bombilla,2,1,8.0
737,Yerba mate set,1,1,-2.0
737,Bombilla,2,1,8.0
737,Yerba mate,3,1,8.0
737,Kalebas,4,1,15.0
736,Yerba mate set,1,1,-2.0
736,Bombilla,2,1,8.0
736,Yerba mate,3,1,8.0
736,Kalebas,4,1,15.0
735,Yerba mate set,1,2,-2.0
735,Bombilla,2,2,8.0
735,Yerba mate,3,2,8.0
735,Kalebas,4,2,15.0
733,Yerba mate set,1,1,-2.0
733,Bombilla,2,1,8.0
733,Yerba mate,3,1,8.0
733,Kalebas,4,1,15.0
730,Yerba mate set,1,1,-2.0
730,Bombilla,2,1,8.0
730,Yerba mate,3,1,8.0
730,Kalebas,4,1,15.0
729,Yerba mate set,1,1,-2.0
729,Bombilla,2,1,8.0
729,Yerba mate,3,1,8.0
729,Kalebas,4,1,15.0
728,Yerba mate set,1,2,-2.0
728,Bombilla,2,2,8.0
728,Yerba mate,3,2,8.0
728,Kalebas,4,2,15.0
726,Yerba mate set compleet,1,1,38.0
725,Yerba mate set,1,1,-2.0
725,Bombilla,2,1,8.0
725,Yerba mate,3,1,8.0
725,Kalebas,4,1,15.0
724,Yerba mate set,1,1,-2.0
724,Bombilla,2,1,8.0
724,Yerba mate,3,1,8.0
724,Kalebas,4,1,15.0
723,Yerba mate set,1,1,-2.0
723,Bombilla,2,1,8.0
723,Yerba mate,3,1,8.0
723,Kalebas,4,1,15.0
723,Yerba mate,5,1,8.0
722,Yerba mate set,1,1,-2.0
722,Bombilla,2,1,8.0
722,Yerba mate,3,1,8.0
722,Kalebas,4,1,15.0
721,Yerba mate set compleet,1,1,38.0
720,Yerba mate set,1,1,-2.0
720,Bombilla,2,1,8.0
720,Yerba mate,3,1,8.0
720,Kalebas,4,1,15.0
719,Yerba mate set,1,1,-2.0
719,Bombilla,2,1,8.0
719,Yerba mate,3,1,8.0
719,Kalebas,4,1,15.0
719,Mateology - The Drink Beyond a Drink,5,1,15.0
718,Yerba mate set,1,1,-2.0
718,Bombilla,2,1,8.0
718,Yerba mate,3,1,8.0
718,Kalebas,4,1,15.0
718,Yerba mate,5,1,8.0
717,Yerba mate,1,3,8.0
716,Yerba mate set,1,1,-2.0
716,Bombilla,2,1,8.0
716,Yerba mate,3,1,8.0
716,Kalebas,4,1,15.0
714,Yerba mate,1,4,8.0
712,Yerba mate set,1,2,-2.0
712,Bombilla,2,2,9.0
712,Yerba mate,3,2,9.0
712,Kalebas,4,2,16.0
711,Yerba mate set,1,1,-2.0
711,Bombilla,2,1,8.0
711,Yerba mate,3,1,8.0
711,Kalebas,4,1,15.0
710,Yerba mate set compleet,1,1,38.0
708,Yerba mate set,1,1,-2.0
708,Bombilla,2,1,8.0
708,Yerba mate,3,1,8.0
708,Kalebas,4,1,15.0
707,Yerba mate set,1,1,-2.0
707,Bombilla,2,1,9.0
707,Yerba mate,3,1,9.0
707,Kalebas,4,1,16.0
706,Yerba mate set,1,1,-2.0
706,Bombilla,2,1,9.0
706,Yerba mate,3,1,9.0
706,Kalebas,4,1,16.0
705,Bombilla,1,1,8.0
705,Kalebas,2,1,15.0
702,Yerba mate set,1,1,-2.0
702,Bombilla,2,1,9.0
702,Yerba mate,3,1,9.0
702,Kalebas,4,1,16.0
700,Yerba mate set,1,1,-2.0
700,Bombilla,2,1,8.0
700,Yerba mate,3,1,8.0
700,Kalebas,4,1,15.0
699,Yerba mate set,1,1,-2.0
699,Bombilla,2,1,8.0
699,Yerba mate,3,1,8.0
