,ITEM TYPE,ITEM CODE,WAREHOUSE SALES,WAREHOUSE SALES,WAREHOUSE SALES,WAREHOUSE SALES,RETAIL SALES,RETAIL SALES,RETAIL SALES,RETAIL SALES,RETAIL TRANSFERS,RETAIL TRANSFERS,RETAIL TRANSFERS,RETAIL TRANSFERS
,,,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum
156,BEER,11082,1.0,2.0,1.3333333333333333,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,BEER,11083,2.0,49.0,26.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,BEER,11099,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,BEER,11105,1.0,9.0,3.21875,25.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,BEER,11107,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,BEER,11108,1.0,3.0,1.6666666666666667,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,BEER,11109,1.0,5.0,1.5714285714285714,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,BEER,11116,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,BEER,11132,1.0,26.0,9.333333333333334,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,BEER,11134,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,BEER,11145,9.0,14.0,11.5,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,BEER,11146,3.0,6.0,4.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,BEER,11147,4.0,21.0,12.666666666666666,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,BEER,11149,2.0,27.0,14.5,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,BEER,11150,6.0,7.0,6.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,BEER,11172,1.0,9.0,6.333333333333333,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,BEER,11176,60.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
173,BEER,11183,1.0,2.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,BEER,11185,1.0,2.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,BEER,11191,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,BEER,11208,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,BEER,11227,-1.0,6.0,2.6666666666666665,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,BEER,11228,1.0,2.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,BEER,11229,0.0,4.0,1.2,6.0,0.0,0.75,0.45,2.25,0.0,1.0,0.6,3.0
180,BEER,11255,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,BEER,11258,2.0,5.5,3.75,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,BEER,11262,1.0,2.0,1.25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,BEER,11273,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,BEER,11275,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,BEER,11279,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,BEER,11286,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,BEER,11292,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,BEER,11299,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,BEER,11303,1.0,2.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,BEER,11322,0.0,4.0,2.0,6.0,0.0,1.25,0.5833333333333334,1.75,0.0,2.0,0.6666666666666666,2.0
191,BEER,11325,0.0,11.0,4.4,44.0,0.0,1.0,0.275,2.75,0.0,2.0,0.5,5.0
192,BEER,11326,1.0,3.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,BEER,11337,4.0,8.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,BEER,11349,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,BEER,11354,1.0,6.0,3.111111111111111,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,BEER,11356,1.0,11.0,4.625,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,BEER,11358,1.0,21.0,7.25,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,BEER,11359,1.0,15.0,6.888888888888889,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,BEER,11360,8.0,64.0,24.77777777777778,223.0,0.0,1.5,0.3333333333333333,3.0,0.0,3.0,0.6666666666666666,6.0
200,BEER,11378,0.0,1.0,0.16666666666666666,1.0,0.04,0.54,0.2833333333333334,1.7000000000000002,0.0,1.0,0.16666666666666666,1.0
201,BEER,11404,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,BEER,11408,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,BEER,11411,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
